iteration,x value,y value,z value
0.0,0.0,1.0,0.5
1.0,0.1,0.975,0.671
2.0,0.2,0.9793499999999999,0.86931
3.0,0.30000000000000004,1.0131394999999999,1.1008691000000002
4.0,0.4,1.0770438549999999,1.3722786510000002
5.0,0.5,1.17233777315,1.6909336881100003
6.0,0.6,1.3009207423775,2.0651701711171
7.0,0.7,1.465354892675235,2.504430964177731
8.0,0.7999999999999999,1.6689160487522372,3.019453859504805
9.0,0.8999999999999999,1.9156589903150163,3.6224853889255573
10.0,0.9999999999999999,2.2104982200792205,4.32752468073887
11.0,1.0999999999999999,2.5593058483459776,5.150602217628069
12.0,1.2,2.9690285437576467,6.110099046401754
